ACSSF,2012e1,co,000,0058,0000041,257724,84219,45907,35635,28985,6650,10272,38312,28077,24872,3205,10235,115886,58004,46705,43976,2729,11299,57882,35103,32576,2527,22779,9896,5150,4318,3996,322,832,4746,3388,3045,343,1358,11682,1854,587,516,71,1267,9828,2401,2304,97,7427,36041,16258,11784,10332,1452,4474,19783,14109,13058,1051,5674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000042,508571,209199,113162,88614,81448,7166,24548,96037,72570,66454,6116,23467,194070,97811,78586,75570,3016,19225,96259,58420,54658,3762,37839,13046,5489,4070,3362,708,1419,7557,5301,4831,470,2256,21939,4559,1173,908,265,3386,17380,4907,4735,172,12473,70317,32120,20982,18095,2887,11138,38197,25983,24439,1544,12214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000043,123038,51047,26001,19013,17327,1686,6988,25046,17145,15581,1564,7901,55945,28455,23043,21946,1097,5412,27490,18306,16898,1408,9184,986,334,298,176,122,36,652,498,468,30,154,3435,636,71,36,35,565,2799,527,527,0,2272,11625,4921,3668,3325,343,1253,6704,4700,4199,501,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000044,55250,13640,7625,6602,5963,639,1023,6015,4310,3350,960,1705,30355,15973,12361,11711,650,3612,14382,9642,9405,237,4740,585,253,253,122,131,0,332,134,40,94,198,3545,636,0,0,0,636,2909,460,460,0,2449,7125,2488,1850,1806,44,638,4637,2931,2544,387,1706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000045,73825,25258,13407,9132,7642,1490,4275,11851,7668,7089,579,4183,34052,16573,12321,11852,469,4252,17479,9200,8299,901,8279,1469,559,502,502,0,57,910,616,528,88,294,3542,583,143,118,25,440,2959,542,462,80,2417,9504,4742,3616,2994,622,1126,4762,3493,3156,337,1269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000046,84646,26315,14303,9188,7584,1604,5115,12012,7143,5566,1577,4869,36984,18113,10795,9932,863,7318,18871,10461,9524,937,8410,2020,736,608,608,0,128,1284,871,832,39,413,6634,1318,462,367,95,856,5316,689,689,0,4627,12693,5656,3421,2845,576,2235,7037,3945,3599,346,3092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000047,602709,237100,127568,99658,90850,8808,27910,109532,83116,76164,6952,26416,240688,121401,97614,93990,3624,23787,119287,73875,69392,4483,45412,15121,6087,4461,3753,708,1626,9034,6550,5881,669,2484,26823,6059,1793,1528,265,4266,20764,5833,5661,172,14931,82977,37641,25198,21940,3258,12443,45336,31405,29555,1850,13931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000048,610133,195137,103698,77312,69398,7914,26386,91439,62776,56187,6589,28663,323682,165091,131951,126447,5504,33140,158591,104154,99213,4941,54437,5221,1869,1513,992,521,356,3352,2705,2472,233,647,22304,5014,1252,1217,35,3762,17290,4240,4240,0,13050,63789,27758,21177,18991,2186,6581,36031,24250,22355,1895,11781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000049,574350,154900,90588,62751,54128,8623,27837,64312,43718,38093,5625,20594,302848,152380,109626,103632,5994,42754,150468,87028,80927,6101,63440,9668,4323,3333,3183,150,990,5345,4005,3306,699,1340,31071,6540,1503,1398,105,5037,24531,5560,5385,175,18971,75863,36672,25607,22939,2668,11065,39191,25393,23324,2069,13798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000050,563483,139097,80663,53487,46317,7170,27176,58434,38054,34944,3110,20380,326100,166902,133278,127368,5910,33624,159198,98562,92933,5629,60636,7487,2982,2087,1954,133,895,4505,3250,2912,338,1255,25624,5140,1297,1236,61,3843,20484,5078,4847,231,15406,65175,28346,20859,19051,1808,7487,36829,26883,24845,2038,9946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
