ACSSF,2012e1,co,000,0018,0000052,190572,27572,12466,2641,8209,1616,15106,9657,5449,36491,19166,7342,9843,1981,17325,12788,4537,126509,102084,78009,13899,10176,24425,21078,3347,118559,67605,50954,7578,12127,9052,8053,5021,2948,1514,4661,748467,629908,118559,,,,190572,64063,32428,31635,126509,99087,27422,118559,67605,50954,7578,34253,9123
ACSSF,2012e1,co,000,0018,0000053,167033,30762,11751,4515,5795,1441,19011,15154,3857,37363,20887,7480,9859,3548,16476,12769,3707,98908,78032,62962,6791,8279,20876,19622,1254,77723,47719,30004,3418,7197,4398,4624,2159,1954,1628,4626,746027,668304,77723,,,,167033,68125,39918,28207,98908,82584,16324,77723,47719,30004,3418,18378,8208
ACSSF,2012e1,co,000,0018,0000054,24127,5231,2213,1086,1127,0,3018,1851,1167,8454,5532,4589,507,436,2922,2379,543,10442,8756,8391,165,200,1686,1256,430,7138,5368,1770,0,394,396,47,287,111,23,512,108211,101073,7138,,,,24127,13685,9905,3780,10442,9647,795,7138,5368,1770,0,1124,646
ACSSF,2012e1,co,000,0018,0000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119938,116140,3798,,,,26192,6967,6050,917,19225,18272,953,3798,1755,2043,57,848,1138
ACSSF,2012e1,co,000,0018,0000056,35980,4489,1561,1149,118,294,2928,2282,646,7447,4798,3533,665,600,2649,2486,163,24044,21228,19339,752,1137,2816,2674,142,10612,6405,4207,717,976,408,203,131,387,197,1188,190549,179937,10612,,,,35980,11936,9450,2486,24044,22013,2031,10612,6405,4207,717,1718,1772
ACSSF,2012e1,co,000,0018,0000057,24185,3586,2294,882,1412,0,1292,1292,0,5401,4240,1419,2118,703,1161,1026,135,15198,12551,10480,1089,982,2647,2447,200,10751,8147,2604,23,1076,455,253,333,94,231,139,101913,91162,10751,,,,24185,8987,4619,4368,15198,12927,2271,10751,8147,2604,23,2117,464
ACSSF,2012e1,co,000,0018,0000058,47244,10078,3368,1693,499,1176,6710,5611,1099,14251,11192,6124,3201,1867,3059,2824,235,22915,19663,16544,701,2418,3252,2874,378,16236,11377,4859,513,1430,1322,588,199,202,296,309,183379,167143,16236,,,,47244,24329,16252,8077,22915,19418,3497,16236,11377,4859,513,3539,807
ACSSF,2012e1,co,000,0018,0000059,21394,2873,1567,0,1525,42,1306,755,551,3568,2850,1248,1228,374,718,422,296,14953,11808,8515,1401,1892,3145,3063,82,15407,10288,5119,538,1550,810,859,107,718,64,473,110346,94939,15407,,,,21394,6441,2425,4016,14953,11578,3375,15407,10288,5119,538,3326,1255
ACSSF,2012e1,co,000,0018,0000060,19162,5108,2144,2144,0,0,2964,2887,77,4763,2987,1751,649,587,1776,1776,0,9291,7749,6221,0,1528,1542,1364,178,4270,2713,1557,40,231,298,157,38,46,239,508,104509,100239,4270,,,,19162,9871,8558,1313,9291,7585,1706,4270,2713,1557,40,724,793
ACSSF,2012e1,co,000,0018,0000061,34422,10222,3380,3061,141,178,6842,6672,170,8459,5839,5346,64,429,2620,2620,0,15741,12119,11237,289,593,3622,3571,51,4952,2786,2166,269,312,98,363,191,160,138,635,151982,147030,4952,,,,34422,18681,17699,982,15741,14808,933,4952,2786,2166,269,964,933
ACSSF,2012e1,co,000,0018,0000062,21416,7272,3164,2003,1035,126,4108,3844,264,5740,3656,3283,358,15,2084,1890,194,8404,7027,6588,46,393,1377,1367,10,5241,3117,2124,62,194,252,643,125,297,156,395,100662,95421,5241,,,,21416,13012,11020,1992,8404,7955,449,5241,3117,2124,62,1214,848
ACSSF,2012e1,co,000,0018,0000063,,,,,,,,,,,,,,,,,,,,,,,,,,4058,1468,2590,0,296,443,60,276,362,118,1035,108301,104243,4058,,,,21605,4075,4001,74,17530,16315,1215,4058,1468,2590,0,1075,1515
ACSSF,2012e1,co,000,0018,0000064,41065,7375,3470,1222,2248,0,3905,3006,899,5794,4572,2110,1718,744,1222,937,285,27896,21838,17484,2331,2023,6058,5378,680,19347,12823,6524,228,2034,1314,1329,485,301,232,601,158080,138733,19347,,,,41065,13169,7275,5894,27896,22862,5034,19347,12823,6524,228,5162,1134
ACSSF,2012e1,co,000,0018,0000065,,,,,,,,,,,,,,,,,,,,,,,,,,9518,5969,3549,473,782,619,338,386,157,151,643,118811,109293,9518,,,,16330,3457,1315,2142,12873,10705,2168,9518,5969,3549,473,2125,951
ACSSF,2012e1,co,000,0018,0000066,35389,2705,838,433,405,0,1867,1118,749,3425,2376,1416,788,172,1049,914,135,29259,25120,20830,3079,1211,4139,3666,473,12987,5569,7418,466,1530,1208,1734,503,942,438,597,148899,135912,12987,,,,35389,6130,3881,2249,29259,24496,4763,12987,5569,7418,466,4975,1977
ACSSF,2012e1,co,000,0018,0000067,26683,3066,1424,780,334,310,1642,1642,0,5542,3111,1178,1933,0,2431,2273,158,18075,14692,12165,738,1789,3383,3229,154,12041,5745,6296,815,859,1320,780,390,501,424,1207,120321,108280,12041,,,,26683,8608,5873,2735,18075,15394,2681,12041,5745,6296,815,3349,2132
ACSSF,2012e1,co,000,0018,0000068,38485,6306,2568,401,2167,0,3738,2221,1517,11256,7343,1896,3622,1825,3913,2399,1514,20923,16341,12149,2691,1501,4582,4314,268,19935,12140,7795,755,1927,1317,1778,665,496,208,649,142417,122482,19935,,,,38485,17562,6917,10645,20923,16463,4460,19935,12140,7795,755,5687,1353
ACSSF,2012e1,co,000,0018,0000069,44602,10623,4990,1469,2906,615,5633,3787,1846,10261,6750,1669,4006,1075,3511,2454,1057,23718,18458,13612,2053,2793,5260,4045,1215,27326,20876,6450,1220,1860,486,1053,331,347,330,823,158566,131240,27326,,,,44602,20884,9379,11505,23718,17657,6061,27326,20876,6450,1220,3730,1500
ACSSF,2012e1,co,000,0018,0000070,30151,2200,1261,281,783,197,939,838,101,3459,1557,861,612,84,1902,1777,125,24492,19825,14738,3039,2048,4667,4190,477,14447,5150,9297,1519,2309,1952,1064,865,307,203,1078,107303,92856,14447,,,,30151,5659,3757,1902,24492,18928,5564,14447,5150,9297,1519,6190,1588
ACSSF,2012e1,co,000,0018,0000071,27365,5852,2812,930,1577,305,3040,2469,571,9396,5207,1960,2609,638,4189,2786,1403,12117,8230,5113,1597,1520,3887,2968,919,21167,12415,8752,1231,2715,1351,1397,935,336,201,586,117678,96511,21167,,,,27365,15248,8145,7103,12117,8081,4036,21167,12415,8752,1231,6398,1123
ACSSF,2012e1,co,000,0018,0000072,30178,10093,4031,517,2972,542,6062,2569,3493,10619,5517,1784,3408,325,5102,2887,2215,9466,6675,3488,2164,1023,2791,2368,423,35807,26449,9358,1491,1710,1756,1673,834,864,325,705,121761,85954,35807,,,,30178,20712,7757,12955,9466,5856,3610,35807,26449,9358,1491,5973,1894
ACSSF,2012e1,co,000,0018,0000073,24576,1122,219,90,0,129,903,903,0,2187,1026,481,230,315,1161,878,283,21267,17918,14806,2056,1056,3349,2801,548,10183,4652,5531,377,1163,647,1317,568,167,293,999,112210,102027,10183,,,,24576,3309,2352,957,21267,17607,3660,10183,4652,5531,377,3695,1459
ACSSF,2012e1,co,000,0018,0000074,41830,11373,2845,94,2223,528,8528,5637,2891,12100,6845,973,4515,1357,5255,4122,1133,18357,14435,9478,1869,3088,3922,3759,163,28113,18586,9527,1435,2148,1760,1250,1028,399,783,724,165112,136999,28113,,,,41830,23473,10826,12647,18357,13237,5120,28113,18586,9527,1435,6186,1906
ACSSF,2012e1,co,000,0018,0000075,17062,7147,2475,1122,1131,222,4672,3738,934,3873,1368,1057,157,154,2505,2167,338,6042,4430,3235,659,536,1612,947,665,13165,9068,4097,456,881,593,606,332,298,178,753,101956,88791,13165,,,,17062,11020,8084,2936,6042,4182,1860,13165,9068,4097,456,2412,1229
ACSSF,2012e1,co,000,0018,0000076,,,,,,,,,,,,,,,,,,,,,,,,,,7168,3192,3976,220,266,836,726,262,621,377,668,109200,102032,7168,,,,12356,1078,1078,0,11278,9893,1385,7168,3192,3976,220,2090,1666
ACSSF,2012e1,co,000,0018,0000077,31151,9498,5646,463,5183,0,3852,3033,819,7638,3643,680,2078,885,3995,3603,392,14015,11566,8610,1985,971,2449,2072,377,31320,19436,11884,2558,1950,2716,1558,878,470,655,1099,164409,133089,31320,,,,31151,17136,7779,9357,14015,10682,3333,31320,19436,11884,2558,7102,2224
ACSSF,2012e1,co,000,0018,0000078,36127,11486,5579,1290,3282,1007,5907,4298,1609,10515,5395,1569,2157,1669,5120,3339,1781,14126,8958,5998,2101,859,5168,4127,1041,27143,20499,6644,626,1743,1603,739,336,540,740,317,124559,97416,27143,,,,36127,22001,10496,11505,14126,10125,4001,27143,20499,6644,626,4421,1597
ACSSF,2012e1,co,000,0018,0000079,,,,,,,,,,,,,,,,,,,,,,,,,,6393,3175,3218,293,799,562,502,108,122,210,622,113001,106608,6393,,,,21160,5486,4297,1189,15674,14716,958,6393,3175,3218,293,1971,954
ACSSF,2012e1,co,000,0018,0000080,21274,7007,1569,829,375,365,5438,5030,408,5205,1975,1434,154,387,3230,2994,236,9062,6497,5690,157,650,2565,2122,443,8540,5648,2892,394,728,216,351,288,0,349,566,120287,111747,8540,,,,21274,12212,10287,1925,9062,7812,1250,8540,5648,2892,394,1583,915
ACSSF,2012e1,co,000,0018,0000081,27494,2973,1003,759,152,92,1970,1970,0,4553,2540,789,1751,0,2013,1620,393,19968,17009,14049,648,2312,2959,2893,66,10750,5748,5002,507,1430,501,292,526,325,139,1282,136248,125498,10750,,,,27494,7526,5138,2388,19968,16942,3026,10750,5748,5002,507,2749,1746
ACSSF,2012e1,co,000,0018,0000082,21924,4516,1600,1017,149,434,2916,2378,538,3978,2474,2165,240,69,1504,1504,0,13430,10523,9059,384,1080,2907,2672,235,7094,3321,3773,313,582,390,606,455,429,291,707,107332,100238,7094,,,,21924,8494,7064,1430,13430,11731,1699,7094,3321,3773,313,2033,1427
ACSSF,2012e1,co,000,0018,0000083,,,,,,,,,,,,,,,,,,,,,,,,,,8812,3649,5163,783,757,729,1005,149,513,349,878,125240,116428,8812,,,,32745,3772,2897,875,28973,26455,2518,8812,3649,5163,783,2640,1740
ACSSF,2012e1,co,000,0018,0000084,,,,,,,,,,,,,,,,,,,,,,,,,,7668,3488,4180,404,634,700,429,590,412,139,872,106574,98906,7668,,,,31066,4026,3366,660,27040,23915,3125,7668,3488,4180,404,2353,1423
ACSSF,2012e1,co,000,0018,0000085,,,,,,,,,,,,,,,,,,,,,,,,,,5566,3812,1754,609,77,243,346,368,40,5,66,115161,109595,5566,,,,32554,4177,3617,560,28377,26776,1601,5566,3812,1754,609,1034,111
