ACSSF,2012m1,co,000,0055,0000102,2772,4205,3162,2663,2355,1576,938,994,3926,4386,2273,1295,516,189,81,189,,,,2772,4205,3162,2663,2355,2071,3926,4386,2273,1295,516,81
ACSSF,2012m1,co,000,0055,0000103,1281,1938,1850,1690,1917,1172,879,411,2067,1851,1067,509,189,46,127,189,,,,1281,1938,1850,1690,1917,1782,2067,1851,1067,509,189,133
ACSSF,2012m1,co,000,0055,0000104,1730,1548,1179,1174,1041,1089,365,482,1094,956,592,123,189,96,189,189,,,,1730,1548,1179,1174,1041,1080,1094,956,592,123,189,96
ACSSF,2012m1,co,000,0055,0000105,2445,2288,1705,1265,1013,1153,385,396,2285,2027,1301,763,649,189,189,189,,,,2445,2288,1705,1265,1013,1271,2285,2027,1301,763,649,189
ACSSF,2012m1,co,000,0055,0000106,1432,2170,1774,1373,1387,966,813,451,1974,1865,743,338,57,189,189,189,,,,1432,2170,1774,1373,1387,1269,1974,1865,743,338,57,189
ACSSF,2012m1,co,000,0055,0000107,1719,1574,1405,965,1016,945,631,516,1505,1209,708,373,260,137,189,189,,,,1719,1574,1405,965,1016,1127,1505,1209,708,373,260,137
ACSSF,2012m1,co,000,0055,0000108,2269,1884,1395,1034,984,475,637,501,1604,1316,956,299,189,149,189,189,,,,2269,1884,1395,1034,984,954,1604,1316,956,299,189,149
ACSSF,2012m1,co,000,0055,0000109,2157,2886,3065,2379,1941,1486,1026,613,3330,3115,1706,740,346,501,189,189,,,,2157,2886,3065,2379,1941,1776,3330,3115,1706,740,346,501
ACSSF,2012m1,co,000,0055,0000110,1427,1343,1327,1009,872,575,312,257,1692,1448,588,212,229,189,189,189,,,,1427,1343,1327,1009,872,669,1692,1448,588,212,229,189
ACSSF,2012m1,co,000,0055,0000111,2274,1892,1681,1340,1403,1015,543,628,1822,1594,1057,217,189,189,189,189,,,,2274,1892,1681,1340,1403,1135,1822,1594,1057,217,189,189
ACSSF,2012m1,co,000,0055,0000112,1844,1781,1697,1378,1281,807,307,262,1852,1601,764,456,189,189,189,189,,,,1844,1781,1697,1378,1281,873,1852,1601,764,456,189,189
ACSSF,2012m1,co,000,0055,0000113,1532,1352,1197,1154,859,655,506,264,1536,1359,661,303,189,174,189,189,,,,1532,1352,1197,1154,859,826,1536,1359,661,303,189,174
ACSSF,2012m1,co,000,0055,0000114,2182,2439,2165,1592,2098,1283,774,470,2266,1961,1401,171,219,189,189,189,,,,2182,2439,2165,1592,2098,1525,2266,1961,1401,171,219,189
ACSSF,2012m1,co,000,0055,0000115,1327,1448,1009,750,836,591,413,312,1056,954,584,371,60,189,189,189,,,,1327,1448,1009,750,836,731,1056,954,584,371,60,189
