ACSSF,2012e1,co,000,0062,0000043,15982,6390,471,242,226,133,481,127,310,44,385,383,178,174,363,44,2613,216,9592,127391,47324,4050,9453,4320,29501,80067,,,,,,,,,,,,,,,4220,2189,94,395,59,1641,2031,,,,,,,,,,,,,,,5969,3105,168,1108,491,1338,2864,116426,42896,3468,8196,3764,27468,73530,15982,6390,713,2089,759,2829,9592
ACSSF,2012e1,co,000,0062,0000044,,,,,,,,,,,,,,,,,,,,60464,14225,1552,7122,3232,2319,46239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57170,12640,1343,6058,2920,2319,44530,8630,3857,354,2219,1077,207,4773
ACSSF,2012e1,co,000,0062,0000045,29981,10857,742,326,880,698,860,868,764,660,566,356,492,879,443,580,1743,0,19124,67163,21502,923,6578,3254,10747,45661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15755,5325,572,3405,1120,228,10430,3126,1970,279,565,272,854,1156,55349,17236,706,4641,2252,9637,38113,29981,10857,1068,5652,2394,1743,19124
ACSSF,2012e1,co,000,0062,0000046,53267,17076,944,1151,815,1022,1278,809,796,1205,954,1286,811,887,842,1336,2664,276,36191,77184,20045,2227,7040,4089,6689,57139,2618,719,143,222,130,224,1899,2047,807,0,330,308,169,1240,,,,,,,,,,,,,,,15403,4856,736,2204,1263,653,10547,5781,1958,181,1173,274,330,3823,44793,9954,1000,2314,1839,4801,34839,53267,17076,2095,8165,3876,2940,36191
ACSSF,2012e1,co,000,0062,0000047,199636,67089,4927,4332,4764,4015,3911,3976,3140,3716,3600,4953,3050,3949,2894,4591,10210,1061,132547,559094,131482,17239,48569,21049,44625,427612,64480,19912,2418,7638,4294,5562,44568,6409,1953,96,969,262,626,4456,23496,5354,280,2215,545,2314,18142,,,,,,,,39987,12191,1270,6822,2085,2014,27796,24292,11043,2383,3954,1669,3037,13249,414466,83412,10797,26085,9846,36684,331054,199636,67089,9259,32075,14484,11271,132547
ACSSF,2012e1,co,000,0062,0000048,69351,28575,1987,1636,1406,1393,1299,1946,1160,1166,1677,1255,1496,1544,1026,1426,6743,1415,40776,655215,191900,18908,59949,29313,83730,463315,5346,2467,292,665,267,1243,2879,2296,582,0,107,168,307,1714,21384,8854,588,3072,465,4729,12530,,,,,,,,17687,5157,847,2117,1384,809,12530,20244,11144,760,4010,1967,4407,9100,610039,172353,16444,51795,25969,78145,437686,69351,28575,3623,11302,5492,8158,40776
ACSSF,2012e1,co,000,0062,0000049,164998,55920,3447,3456,3308,2724,3678,3412,3023,3237,3960,3314,2147,2117,3100,3867,10048,1082,109078,609120,147837,16986,60734,31162,38955,461283,8003,2966,168,813,802,1183,5037,14315,6380,511,2521,1199,2149,7935,4420,987,0,278,385,324,3433,,,,,,,,40596,12526,1874,5694,2798,2160,28070,17143,6170,813,2732,1381,1244,10973,499021,110489,12643,42587,24213,31046,388532,164998,55920,6903,26656,11231,11130,109078
ACSSF,2012e1,co,000,0062,0000050,151663,54350,4007,2886,4013,3644,3284,4178,2876,3943,2611,2344,4108,3479,1759,3643,6614,961,97313,629562,177334,21479,77684,37769,40402,452228,11524,3739,304,1170,688,1577,7785,5435,1102,66,195,276,565,4333,11825,4412,817,1744,247,1604,7413,,,,,,,,33372,10656,987,6235,2688,746,22716,16212,9112,1450,4223,1713,1726,7100,519745,138081,16168,59289,28119,34505,381664,151663,54350,6893,26893,12989,7575,97313
ACSSF,2012e1,co,000,0062,0000051,103572,38237,2712,2438,1774,2307,2865,2572,2755,1573,1815,2129,1478,1713,1259,2493,7400,954,65335,593888,163788,20079,62794,30302,50613,430100,42475,14450,1553,5713,2951,4233,28025,4857,1334,102,327,103,802,3523,17029,4371,244,1699,681,1747,12658,,,,,,,,22533,6676,374,2495,1636,2171,15857,30248,15622,1615,7030,3285,3692,14626,522288,137004,16074,50197,25755,44978,385284,103572,38237,5150,17790,6943,8354,65335
ACSSF,2012e1,co,000,0062,0000052,141862,53108,3840,3980,4148,4259,4048,2395,2135,3347,3008,3580,2262,2899,3007,3312,6007,881,88754,549396,150117,19321,61540,34477,34779,399279,67715,23727,2066,10851,4383,6427,43988,4768,1129,58,620,186,265,3639,39311,12729,1301,4467,3093,3868,26582,,,,,,,,27918,9866,1219,5132,2147,1368,18052,27386,13403,2204,5968,3010,2221,13983,452695,115577,14209,44646,26551,30171,337118,141862,53108,7820,26920,11480,6888,88754
