ACSSF,2011e1,co,000,0175,0000042,619968,765,619203,619968,6208,613760,619968,11696,608272,619968,9541,610427,619968,518883,9982,508901,101085,2609,98476,108743,7658,798,6860,101085,8529,92556,,,,,,,,32409,5135,27274,619968,32901,587067,610005,18267,591738,610005,147563,10982,2468,8514,136581,462442,315036,14160,300876,315036,21005,5228,15777,294031,315036,251126,13953,237173,63910,315036,297253,36153,261100,17783,315036,297253,29330,267923,17783,311400,3002,308398
ACSSF,2011e1,co,000,0175,0000043,146777,237,146540,146777,1442,145335,146777,2026,144751,146777,1661,145116,146777,138192,9055,129137,8585,1287,7298,9820,1235,0,1235,8585,1350,7235,,,,,,,,3736,530,3206,146777,14235,132542,145314,11846,133468,145314,38734,3756,130,3626,34978,106580,76972,6596,70376,76972,7133,751,6382,69839,76972,62327,6234,56093,14645,76972,72461,9065,63396,4511,76972,72461,8265,64196,4511,75346,1192,74154
ACSSF,2011e1,co,000,0175,0000044,68203,285,67918,68203,328,67875,68203,1147,67056,68203,389,67814,68203,63916,5067,58849,4287,170,4117,4978,691,400,291,4287,170,4117,,,,,,,,1742,294,1448,68203,7052,61151,67198,6007,61191,67198,11575,2037,22,2015,9538,55623,31567,4099,27468,31567,5168,1043,4125,26399,31567,28291,4112,24179,3276,31567,29494,4941,24553,2073,31567,29494,4811,24683,2073,31567,74,31493
ACSSF,2011e1,co,000,0175,0000045,94966,51,94915,94966,1571,93395,94966,3183,91783,94966,1571,93395,94966,84703,3231,81472,10263,316,9947,10463,200,0,200,10263,1248,9015,,,,,,,,2815,141,2674,94966,7230,87736,94012,4710,89302,94012,25360,3705,1312,2393,21655,68652,40977,3286,37691,40977,4008,284,3724,36969,40977,35531,2880,32651,5446,40977,39562,5580,33982,1415,40977,39562,5307,34255,1415,40082,322,39760
ACSSF,2011e1,co,000,0175,0000046,107584,97,107487,107584,1093,106491,107584,7276,100308,107584,3466,104118,107584,102743,2622,100121,4841,203,4638,6065,1224,208,1016,4841,434,4407,,,,,,,,2087,363,1724,107584,7707,99877,106494,4370,102124,106494,18582,1624,559,1065,16958,87912,42253,2323,39930,42253,2985,346,2639,39268,42253,39154,2379,36775,3099,42253,41067,5383,35684,1186,42253,41067,3519,37548,1186,41828,372,41456
ACSSF,2011e1,co,000,0175,0000047,680107,809,679298,680107,6659,673448,680107,12817,667290,680107,10573,669534,680107,569966,11037,558929,110141,2967,107174,118708,8567,798,7769,110141,9135,101006,,,,,,,,34947,5419,29528,680107,36141,643966,669795,20016,649779,669795,161296,11700,2596,9104,149596,508499,346019,16138,329881,346019,23418,5968,17450,322601,346019,276847,15888,260959,69172,346019,326310,39078,287232,19709,346019,326310,32094,294216,19709,342383,3650,338733
ACSSF,2011e1,co,000,0175,0000048,740269,628,739641,740269,10496,729773,740269,12903,727366,740269,10868,729401,740269,664263,16379,647884,76006,2687,73319,86337,10331,2250,8081,76006,5669,70337,,,,,,,,27907,3321,24586,740269,42795,697474,730113,26918,703195,730113,134319,12781,2445,10336,121538,595794,382645,24731,357914,382645,32072,6809,25263,350573,382645,317006,24897,292109,65639,382645,354959,46491,308468,27686,382645,354959,34806,320153,27686,380706,2907,377799
ACSSF,2011e1,co,000,0175,0000049,705110,1307,703803,705110,9231,695879,705110,17662,687448,705110,11767,693343,705110,670097,15714,654383,35013,1010,34003,42520,7507,1521,5986,35013,4072,30941,,,,,,,,12330,2768,9562,705110,42378,662732,697106,28299,668807,697106,127524,11801,3777,8024,115723,569582,312400,21002,291398,312400,26824,5175,21649,285576,312400,269159,21156,248003,43241,312400,293315,40262,253053,19085,312400,293315,30314,263001,19085,308023,3320,304703
ACSSF,2011e1,co,000,0175,0000050,740121,1127,738994,740121,10265,729856,740121,14307,725814,740121,9347,730774,740121,679203,36759,642444,60918,3878,57040,65761,4843,694,4149,60918,7609,53309,,,,,,,,17478,2134,15344,740121,64386,675735,731271,49673,681598,731271,151519,19931,3429,16502,131588,579752,349359,31990,317369,349359,38311,6156,32155,311048,349359,297458,29215,268243,51901,349359,326805,48527,278278,22554,349359,326805,44482,282323,22554,345418,4670,340748
ACSSF,2011e1,co,000,0175,0000051,738236,1440,736796,738236,15577,722659,738236,18211,720025,738236,16472,721764,738236,688362,19735,668627,49874,3333,46541,72173,22299,2020,20279,49874,6907,42967,,,,,,,,26265,4433,21832,738236,48555,689681,729174,31392,697782,729174,164079,14545,2425,12120,149534,565095,337465,20051,317414,337465,26819,4938,21881,310646,337465,294267,20140,274127,43198,337465,317563,38097,279466,19902,337465,317563,30180,287383,19902,325316,2955,322361
ACSSF,2011e1,co,000,0175,0000052,816759,807,815952,816759,6223,810536,816759,11546,805213,816759,12633,804126,816759,754408,17751,736657,62351,2102,60249,73903,11552,2270,9282,62351,2285,60066,,,,,,,,31935,2736,29199,816759,48252,768507,806371,32635,773736,806371,116792,11324,1072,10252,105468,689579,417826,19740,398086,417826,28047,4882,23165,389779,417826,365175,21973,343202,52651,417826,385598,41033,344565,32228,417826,385598,28902,356696,32228,417624,4639,412985
ACSSF,2011e1,co,000,0175,0000053,696194,1057,695137,696194,6848,689346,696194,12612,683582,696194,12546,683648,696194,595737,15314,580423,100457,3225,97232,106552,6095,1119,4976,100457,6178,94279,,,,,,,,26890,3617,23273,696194,39812,656382,684613,26892,657721,684613,144872,15963,2380,13583,128909,539741,332034,17856,314178,332034,28020,6243,21777,304014,332034,291475,17957,273518,40559,332034,318244,40270,277974,13790,332034,318244,29969,288275,13790,330633,4489,326144
ACSSF,2011e1,co,000,0175,0000054,118417,347,118070,118417,1176,117241,118417,1230,117187,118417,801,117616,118417,107934,2164,105770,10483,75,10408,11595,1112,0,1112,10483,753,9730,,,,,,,,3076,464,2612,118417,5625,112792,116849,4076,112773,116849,20065,1320,506,814,18745,96784,60000,2604,57396,60000,5424,2609,2815,54576,60000,49209,2580,46629,10791,60000,55282,6614,48668,4718,60000,55282,5128,50154,4718,58334,300,58034
