ACSSF,2010m1,co,000,0021,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4893,279,408,1014,775,469,597,1983,208,968,694,2804,446,301,2645,2888,279,719,1110,213,1356,865,790,397,512,823,103,183,577,279,3747
ACSSF,2010m1,co,000,0021,0000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3614,279,234,659,375,504,972,1598,396,1167,209,2678,155,361,1998,1096,207,759,1046,147,417,1091,556,282,194,931,440,116,392,279,3502
ACSSF,2010m1,co,000,0021,0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3050,279,279,101,275,218,312,1720,980,1019,230,2431,97,106,2072,1030,67,906,589,225,334,293,838,333,275,934,254,279,376,279,2314
ACSSF,2010m1,co,000,0021,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3281,279,115,110,574,634,469,1557,842,784,670,2255,191,186,1690,939,109,1579,823,680,474,232,694,155,279,1346,347,234,331,117,2769
ACSSF,2010m1,co,000,0021,0000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0021,0000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4003,279,279,129,739,386,884,1809,200,628,402,3158,235,168,2583,1163,279,835,641,154,400,512,1082,192,279,748,424,133,651,279,2604
ACSSF,2010m1,co,000,0021,0000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3717,279,96,72,184,660,603,1872,326,1304,342,2336,131,219,1982,1256,504,468,1359,195,1210,261,465,441,590,908,190,172,235,89,3914
ACSSF,2010m1,co,000,0021,0000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2789,279,314,655,461,409,546,1685,532,1086,286,1722,363,529,1633,1008,242,740,847,131,816,471,997,243,279,969,329,130,427,398,3423
ACSSF,2010m1,co,000,0021,0000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7805,279,1859,511,1449,683,1813,3709,806,2558,836,5513,405,505,4274,2558,585,2508,2422,374,1663,1104,1567,912,388,1986,573,472,1076,170,7362
ACSSF,2010m1,co,000,0021,0000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5368,279,510,290,409,687,791,2294,394,1379,522,2845,720,604,2549,1764,73,982,1372,152,1036,756,990,360,580,1506,283,550,492,312,6890
ACSSF,2010m1,co,000,0021,0000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5116,279,841,492,1244,703,1116,3825,925,2358,699,4609,644,628,3743,2085,413,1162,1688,733,1265,615,1513,231,1189,1499,693,762,1079,305,5306
ACSSF,2010m1,co,000,0021,0000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3680,279,230,283,668,1298,1090,2424,679,1150,836,2954,328,577,2266,1221,395,1894,1019,176,574,437,875,153,149,1626,815,606,923,487,3094
